name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
CF_FM_27,1280,720,54246,29.97002997,3000,681.0888341,37.64306045,38.83297568
CF_FM_28,1280,720,54246,29.97002997,5250,667.0906985,36.79673899,40.60788101
CF_FM_29,1280,720,54246,29.97002997,33000,666.9722633,37.01351105,34.17601498
CF_FM_03,1280,720,54246,29.97002997,6000,685.8916533,34.35345689,37.63402716
CF_FM_30,1280,720,54246,29.97002997,24000,664.2439311,36.05551275,40.81666326
CF_FM_31,1280,720,54246,29.97002997,6000,700.4826907,36.05551275,40.24922359
CF_FM_32,1280,720,54246,29.97002997,6000,700.0714249,35.22782991,40.49691346
CF_FM_33,1280,720,54246,29.97002997,15000,700.285656,38.83297568,38.94868419
CF_FM_34,1280,720,54246,29.97002997,9000,675.002963,39.40812099,37.64306045
CF_FM_35,1280,720,54246,29.97002997,6000,675,39.29376541,34.4818793
CF_FM_36,1280,720,54246,29.97002997,9000,677.0007386,42.95346319,38.94868419
CF_FM_37,1280,720,54246,29.97002997,3000,673.9462293,36.49438313,37.73592453
CF_FM_38,1280,720,54246,29.97002997,6000,683.3227641,36.24913792,43.08131846
CF_FM_39,1280,720,54246,29.97002997,12000,682.123889,38.94868419,37.73592453
CF_FM_04,1280,720,54246,29.97002997,42000,685.1233466,36.23534186,40.31128874
CF_FM_40,1280,720,54246,29.97002997,3000,685.1233466,39.35733731,35.60898763
CF_FM_41,1280,720,54246,29.97002997,9000,689.0355579,41.23105626,44.77722635
CF_FM_42,1280,720,54246,29.97002997,27000,690.0065217,42,40.44749683
CF_FM_43,1280,720,54246,29.97002997,39000,691.4520952,39.05124838,42.72001873
CF_FM_44,1280,720,54246,29.97002997,15000,696.0581872,42.54409477,39.35733731
CF_FM_45,1280,720,54246,29.97002997,36000,696.0064655,39.8246155,39.81205847
CF_FM_46,1280,720,54246,29.97002997,36000,696.0064655,39.81205847,37.33630941
CF_FM_47,1280,720,54246,29.97002997,42000,695.0352509,34.92849839,38.63935817
CF_FM_48,1280,720,54246,29.97002997,33000,700.0864232,39.20459157,39.01281841
CF_FM_49,1280,720,54246,29.97002997,9000,699.3461232,35.60898763,40.81666326
CF_FM_05,1280,720,54246,29.97002997,45000,684.2923352,38.28837944,39.66106403
CF_FM_50,1280,720,54246,29.97002997,9000,700.1828333,40.31128874,40.31128874
CF_FM_06,1280,720,54246,29.97002997,30000,684.0358178,39.11521443,38.41874542
CF_FM_07,1280,720,54246,29.97002997,18000,684.1052551,33.24154028,36.35931793
CF_FM_08,1280,720,54246,29.97002997,30000,684.4209231,41,38.48376281
CF_FM_09,1280,720,54246,29.97002997,3000,682.0007331,40.49691346,38.47076812
CF_MM_01,1280,720,54246,29.97002997,0,684.0358178,39.96248241,40.85339643
CF_MM_03,1280,720,54246,29.97002997,12000,682.1649361,36.67424164,41.77319715
CF_MM_04,1280,720,54246,29.97002997,0,684.1235269,41.72529209,37.16180835
CF_MM_05,1280,720,54246,29.97002997,3000,685.1430508,39,40.16217126
CF_MM_06,1280,720,54246,29.97002997,3000,687,36.76955262,40.31128874
CF_MM_07,1280,720,54246,29.97002997,3000,683.2323177,40.0079992,37.2236484
